model,exercise,target,condition,metric,value
tcn,squat,010101,seen,bit_accuracy,0.8388888888888889
tcn,squat,010101,seen,exact_match,0.2333333333333333
tcn,squat,010101,seen,macro_f1,0.49382716049382713
tcn,squat,010101,seen,micro_f1,0.8600732600732601
tcn,squat,010101,unseen,bit_accuracy,0.4148148148148148
tcn,squat,010101,unseen,exact_match,0.0
tcn,squat,010101,unseen,macro_f1,0.2222222222222222
tcn,squat,010101,unseen,micro_f1,0.4211344211344212
tcn,squat,100001,seen,bit_accuracy,0.8777777777777778
tcn,squat,100001,seen,exact_match,0.39999999999999997
tcn,squat,100001,seen,macro_f1,0.3209876543209877
tcn,squat,100001,seen,micro_f1,0.8393939393939395
tcn,squat,100001,unseen,bit_accuracy,0.6111111111111112
tcn,squat,100001,unseen,exact_match,0.0
tcn,squat,100001,unseen,macro_f1,0.23456790123456792
tcn,squat,100001,unseen,micro_f1,0.5372294372294372
tcn,squat,100101,seen,bit_accuracy,0.8444444444444444
tcn,squat,100101,seen,exact_match,0.2333333333333333
tcn,squat,100101,seen,macro_f1,0.38095238095238093
tcn,squat,100101,seen,micro_f1,0.8214452214452215
tcn,squat,100101,unseen,bit_accuracy,0.7416666666666667
tcn,squat,100101,unseen,exact_match,0.0
tcn,squat,100101,unseen,macro_f1,0.3037037037037037
tcn,squat,100101,unseen,micro_f1,0.6704429920116195
tcn,squat,101001,seen,bit_accuracy,0.8444444444444444
tcn,squat,101001,seen,exact_match,0.26666666666666666
tcn,squat,101001,seen,macro_f1,0.4444444444444445
tcn,squat,101001,seen,micro_f1,0.8441492726122707
tcn,squat,101001,unseen,bit_accuracy,0.7444444444444445
tcn,squat,101001,unseen,exact_match,0.0
tcn,squat,101001,unseen,macro_f1,0.29717813051146386
tcn,squat,101001,unseen,micro_f1,0.6776556776556776
transformer,deadlift,00000,seen,bit_accuracy,0.6866666666666666
transformer,deadlift,00000,seen,exact_match,0.16666666666666666
transformer,deadlift,00000,seen,macro_f1,0.0
transformer,deadlift,00000,seen,micro_f1,0.0
transformer,deadlift,00000,unseen,bit_accuracy,0.24
transformer,deadlift,00000,unseen,exact_match,0.0
transformer,deadlift,00000,unseen,macro_f1,0.0
transformer,deadlift,00000,unseen,micro_f1,0.0
transformer,deadlift,00010,seen,bit_accuracy,0.6833333333333332
transformer,deadlift,00010,seen,exact_match,0.16666666666666666
transformer,deadlift,00010,seen,macro_f1,0.11111111111111112
transformer,deadlift,00010,seen,micro_f1,0.35714285714285715
transformer,deadlift,00010,unseen,bit_accuracy,0.39666666666666667
transformer,deadlift,00010,unseen,exact_match,0.0
transformer,deadlift,00010,unseen,macro_f1,0.02666666666666667
transformer,deadlift,00010,unseen,micro_f1,0.09523809523809523
transformer,deadlift,00100,seen,bit_accuracy,0.48888888888888893
transformer,deadlift,00100,seen,exact_match,0.0
transformer,deadlift,00100,seen,macro_f1,0.0
transformer,deadlift,00100,seen,micro_f1,0.0
transformer,deadlift,00100,unseen,bit_accuracy,0.39999999999999997
transformer,deadlift,00100,unseen,exact_match,0.0
transformer,deadlift,00100,unseen,macro_f1,0.0
transformer,deadlift,00100,unseen,micro_f1,0.0
transformer,deadlift,00110,seen,bit_accuracy,0.9166666666666666
transformer,deadlift,00110,seen,exact_match,0.6944444444444443
transformer,deadlift,00110,seen,macro_f1,0.37333333333333335
transformer,deadlift,00110,seen,micro_f1,0.8894830659536542
transformer,deadlift,00110,unseen,bit_accuracy,0.68
transformer,deadlift,00110,unseen,exact_match,0.0
transformer,deadlift,00110,unseen,macro_f1,0.25
transformer,deadlift,00110,unseen,micro_f1,0.5333333333333333
transformer,deadlift,11110,seen,bit_accuracy,0.6533333333333333
transformer,deadlift,11110,seen,exact_match,0.15
transformer,deadlift,11110,seen,macro_f1,0.5107936507936508
transformer,deadlift,11110,seen,micro_f1,0.7148330596606458
transformer,deadlift,11110,unseen,bit_accuracy,0.34
