model,exercise,target,seed,criterion,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_frequency,target_cardinality,total_hamming1_support
fact,squat,100001,123,3,0,0.5384615384615384,26.0,94.0,86.0,0.5222222222222223,52.0,2.0,85.0
fact,squat,100001,123,4,0,0.8653846153846154,0.0,10.0,170.0,0.05555555555555555,52.0,2.0,85.0
fact,squat,100001,123,5,1,0.6538461538461539,1.0,36.0,144.0,0.2,52.0,2.0,85.0
fact,squat,100001,42,0,1,0.4230769230769231,38.0,115.0,65.0,0.6388888888888888,52.0,2.0,96.0
fact,squat,100001,42,1,0,0.75,0.0,35.0,145.0,0.19444444444444445,52.0,2.0,96.0
fact,squat,100001,42,2,0,0.7692307692307693,20.0,40.0,140.0,0.2222222222222222,52.0,2.0,96.0
fact,squat,100001,42,3,0,0.5384615384615384,32.0,89.0,91.0,0.49444444444444446,52.0,2.0,96.0
fact,squat,100001,42,4,0,0.7307692307692307,5.0,10.0,170.0,0.05555555555555555,52.0,2.0,96.0
fact,squat,100001,42,5,1,0.9230769230769231,1.0,40.0,140.0,0.2222222222222222,52.0,2.0,96.0
fact,squat,100001,7,0,1,0.8269230769230769,46.0,112.0,68.0,0.6222222222222222,52.0,2.0,98.0
fact,squat,100001,7,1,0,0.8653846153846154,0.0,36.0,144.0,0.2,52.0,2.0,98.0
fact,squat,100001,7,2,0,0.75,20.0,35.0,145.0,0.19444444444444445,52.0,2.0,98.0
fact,squat,100001,7,3,0,0.6346153846153846,31.0,84.0,96.0,0.4666666666666667,52.0,2.0,98.0
fact,squat,100001,7,4,0,1.0,0.0,10.0,170.0,0.05555555555555555,52.0,2.0,98.0
fact,squat,100001,7,5,1,0.8846153846153846,1.0,39.0,141.0,0.21666666666666667,52.0,2.0,98.0
fact,squat,100101,123,0,1,0.8333333333333334,18.0,125.0,74.0,0.628140703517588,36.0,3.0,60.0
fact,squat,100101,123,1,0,0.5,0.0,42.0,157.0,0.21105527638190955,36.0,3.0,60.0
fact,squat,100101,123,2,0,0.5277777777777778,0.0,40.0,159.0,0.20100502512562815,36.0,3.0,60.0
fact,squat,100101,123,3,1,0.6944444444444444,42.0,139.0,60.0,0.6984924623115578,36.0,3.0,60.0
fact,squat,100101,123,4,0,0.8611111111111112,0.0,10.0,189.0,0.05025125628140704,36.0,3.0,60.0
fact,squat,100101,123,5,1,0.9166666666666666,0.0,35.0,164.0,0.17587939698492464,36.0,3.0,60.0
fact,squat,100101,42,0,1,0.8055555555555556,18.0,121.0,78.0,0.6080402010050251,36.0,3.0,63.0
fact,squat,100101,42,1,0,0.6666666666666666,0.0,38.0,161.0,0.19095477386934673,36.0,3.0,63.0
fact,squat,100101,42,2,0,0.5,0.0,40.0,159.0,0.20100502512562815,36.0,3.0,63.0
fact,squat,100101,42,3,1,0.6111111111111112,45.0,139.0,60.0,0.6984924623115578,36.0,3.0,63.0
fact,squat,100101,42,4,0,1.0,0.0,10.0,189.0,0.05025125628140704,36.0,3.0,63.0
fact,squat,100101,42,5,1,0.7222222222222222,0.0,31.0,168.0,0.15577889447236182,36.0,3.0,63.0
fact,squat,100101,7,0,1,0.8055555555555556,15.0,115.0,84.0,0.5778894472361809,36.0,3.0,63.0
fact,squat,100101,7,1,0,0.7777777777777778,1.0,30.0,169.0,0.1507537688442211,36.0,3.0,63.0
fact,squat,100101,7,2,0,0.7777777777777778,0.0,35.0,164.0,0.17587939698492464,36.0,3.0,63.0
fact,squat,100101,7,3,1,0.4722222222222222,47.0,159.0,40.0,0.7989949748743719,36.0,3.0,63.0
fact,squat,100101,7,4,0,0.9722222222222222,0.0,10.0,189.0,0.05025125628140704,36.0,3.0,63.0
fact,squat,100101,7,5,1,0.75,0.0,36.0,163.0,0.18090452261306533,36.0,3.0,63.0
fact,squat,101001,123,0,1,0.84,2.0,117.0,98.0,0.5441860465116279,25.0,3.0,45.0
fact,squat,101001,123,1,0,0.64,0.0,41.0,174.0,0.19069767441860466,25.0,3.0,45.0
fact,squat,101001,123,2,1,0.0,43.0,200.0,15.0,0.9302325581395349,25.0,3.0,45.0
fact,squat,101001,123,3,0,0.84,0.0,99.0,116.0,0.4604651162790698,25.0,3.0,45.0
fact,squat,101001,123,4,0,1.0,0.0,10.0,205.0,0.046511627906976744,25.0,3.0,45.0
fact,squat,101001,123,5,1,0.88,0.0,35.0,180.0,0.16279069767441862,25.0,3.0,45.0
fact,squat,101001,42,0,1,0.92,7.0,126.0,88.0,0.5887850467289719,25.0,3.0,47.0
fact,squat,101001,42,1,0,0.56,0.0,31.0,183.0,0.14485981308411214,25.0,3.0,47.0
fact,squat,101001,42,2,1,0.36,40.0,199.0,15.0,0.9299065420560748,25.0,3.0,47.0
fact,squat,101001,42,3,0,0.28,0.0,84.0,130.0,0.3925233644859813,25.0,3.0,47.0
fact,squat,101001,42,4,0,0.92,0.0,10.0,204.0,0.04672897196261682,25.0,3.0,47.0
fact,squat,101001,42,5,1,0.76,0.0,39.0,175.0,0.1822429906542056,25.0,3.0,47.0
fact,squat,101001,7,0,1,0.8,5.0,119.0,95.0,0.5560747663551402,25.0,3.0,52.0
fact,squat,101001,7,1,0,0.64,0.0,46.0,168.0,0.21495327102803738,25.0,3.0,52.0
fact,squat,101001,7,2,1,0.24,47.0,199.0,15.0,0.9299065420560748,25.0,3.0,52.0
fact,squat,101001,7,3,0,0.96,0.0,89.0,125.0,0.4158878504672897,25.0,3.0,52.0
fact,squat,101001,7,4,0,0.92,0.0,10.0,204.0,0.04672897196261682,25.0,3.0,52.0
fact,squat,101001,7,5,1,0.72,0.0,35.0,179.0,0.16355140186915887,25.0,3.0,52.0
gru,deadlift,00000,123,0,0,0.5652173913043478,0.0,19.0,118.0,0.1386861313868613,69.0,0.0,60.0
gru,deadlift,00000,123,1,0,0.7536231884057971,0.0,26.0,111.0,0.1897810218978102,69.0,0.0,60.0
gru,deadlift,00000,123,2,0,0.5072463768115942,15.0,77.0,60.0,0.5620437956204379,69.0,0.0,60.0
gru,deadlift,00000,123,3,0,0.18840579710144928,45.0,112.0,25.0,0.8175182481751825,69.0,0.0,60.0
gru,deadlift,00000,123,4,0,0.9130434782608695,0.0,9.0,128.0,0.06569343065693431,69.0,0.0,60.0
gru,deadlift,00000,42,0,0,0.5652173913043478,0.0,19.0,118.0,0.1386861313868613,69.0,0.0,60.0
gru,deadlift,00000,42,1,0,0.6231884057971014,0.0,26.0,111.0,0.1897810218978102,69.0,0.0,60.0
gru,deadlift,00000,42,2,0,0.5362318840579711,15.0,77.0,60.0,0.5620437956204379,69.0,0.0,60.0
gru,deadlift,00000,42,3,0,0.2608695652173913,45.0,112.0,25.0,0.8175182481751825,69.0,0.0,60.0
gru,deadlift,00000,42,4,0,0.782608695652174,0.0,9.0,128.0,0.06569343065693431,69.0,0.0,60.0
gru,deadlift,00000,7,0,0,0.8115942028985508,0.0,19.0,118.0,0.1386861313868613,69.0,0.0,60.0
gru,deadlift,00000,7,1,0,0.9855072463768116,0.0,26.0,111.0,0.1897810218978102,69.0,0.0,60.0
gru,deadlift,00000,7,2,0,0.2898550724637681,15.0,77.0,60.0,0.5620437956204379,69.0,0.0,60.0
gru,deadlift,00000,7,3,0,0.3188405797101449,45.0,112.0,25.0,0.8175182481751825,69.0,0.0,60.0
gru,deadlift,00000,7,4,0,0.6811594202898551,0.0,9.0,128.0,0.06569343065693431,69.0,0.0,60.0
