model,exercise,target,criterion,seed,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_frequency,target_cardinality,total_hamming1_support
gru,squat,000101,4,57.333333333333336,0.0,1.0,0.0,10.0,200.0,0.047619047619047616,22.0,2.0,83.66666666666667
gru,squat,000101,5,57.333333333333336,1.0,0.5,5.0,40.0,170.0,0.19047619047619047,22.0,2.0,83.66666666666667
gru,squat,010101,0,57.333333333333336,0.0,0.5333333333333333,1.6666666666666667,116.33333333333333,102.66666666666667,0.5312024353120243,15.0,3.0,27.333333333333332
gru,squat,010101,1,57.333333333333336,1.0,0.4888888888888889,15.333333333333334,193.0,26.0,0.8812785388127854,15.0,3.0,27.333333333333332
gru,squat,010101,2,57.333333333333336,0.0,0.8888888888888888,5.333333333333333,38.333333333333336,180.66666666666666,0.17503805175038054,15.0,3.0,27.333333333333332
gru,squat,010101,3,57.333333333333336,1.0,0.7999999999999999,0.0,148.0,71.0,0.6757990867579909,15.0,3.0,27.333333333333332
gru,squat,010101,4,57.333333333333336,0.0,0.7777777777777778,0.0,10.0,209.0,0.045662100456621,15.0,3.0,27.333333333333332
gru,squat,010101,5,57.333333333333336,1.0,0.5555555555555555,5.0,35.0,184.0,0.1598173515981735,15.0,3.0,27.333333333333332
gru,squat,100001,0,57.333333333333336,1.0,0.6089743589743589,42.333333333333336,117.33333333333333,62.666666666666664,0.6518518518518518,52.0,2.0,93.0
gru,squat,100001,1,57.333333333333336,0.0,0.6153846153846154,0.0,37.333333333333336,142.66666666666666,0.2074074074074074,52.0,2.0,93.0
gru,squat,100001,2,57.333333333333336,0.0,0.4423076923076923,18.333333333333332,36.666666666666664,143.33333333333334,0.20370370370370372,52.0,2.0,93.0
gru,squat,100001,3,57.333333333333336,0.0,0.48076923076923084,29.666666666666668,89.0,91.0,0.49444444444444446,52.0,2.0,93.0
gru,squat,100001,4,57.333333333333336,0.0,0.8141025641025642,1.6666666666666667,10.0,170.0,0.05555555555555555,52.0,2.0,93.0
gru,squat,100001,5,57.333333333333336,1.0,0.6666666666666666,1.0,38.333333333333336,141.66666666666666,0.21296296296296294,52.0,2.0,93.0
gru,squat,100101,0,57.333333333333336,1.0,0.6203703703703703,17.0,120.33333333333333,78.66666666666667,0.6046901172529313,36.0,3.0,62.0
gru,squat,100101,1,57.333333333333336,0.0,0.9629629629629629,0.3333333333333333,36.666666666666664,162.33333333333334,0.1842546063651591,36.0,3.0,62.0
gru,squat,100101,2,57.333333333333336,0.0,0.6018518518518519,0.0,38.333333333333336,160.66666666666666,0.19262981574539365,36.0,3.0,62.0
gru,squat,100101,3,57.333333333333336,1.0,0.14814814814814814,44.666666666666664,145.66666666666666,53.333333333333336,0.7319932998324958,36.0,3.0,62.0
gru,squat,100101,4,57.333333333333336,0.0,0.8240740740740741,0.0,10.0,189.0,0.05025125628140704,36.0,3.0,62.0
gru,squat,100101,5,57.333333333333336,1.0,0.8611111111111112,0.0,34.0,165.0,0.1708542713567839,36.0,3.0,62.0
gru,squat,101001,0,57.333333333333336,1.0,0.6533333333333333,4.666666666666667,120.66666666666667,93.66666666666667,0.5630152865319134,25.0,3.0,48.0
gru,squat,101001,1,57.333333333333336,0.0,0.84,0.0,39.333333333333336,175.0,0.18350358617691806,25.0,3.0,48.0
gru,squat,101001,2,57.333333333333336,1.0,0.08,43.333333333333336,199.33333333333334,15.0,0.9300152140838948,25.0,3.0,48.0
gru,squat,101001,3,57.333333333333336,0.0,0.6,0.0,90.66666666666667,123.66666666666667,0.42295877707744695,25.0,3.0,48.0
gru,squat,101001,4,57.333333333333336,0.0,0.96,0.0,10.0,204.33333333333334,0.046656523944070126,25.0,3.0,48.0
gru,squat,101001,5,57.333333333333336,1.0,0.8533333333333334,0.0,36.333333333333336,178.0,0.16952836339926103,25.0,3.0,48.0
ssm,deadlift,00000,0,57.333333333333336,0.0,0.5652173913043478,0.0,19.0,118.0,0.1386861313868613,69.0,0.0,60.0
ssm,deadlift,00000,1,57.333333333333336,0.0,0.7004830917874396,0.0,26.0,111.0,0.1897810218978102,69.0,0.0,60.0
ssm,deadlift,00000,2,57.333333333333336,0.0,0.6376811594202899,15.0,77.0,60.0,0.5620437956204379,69.0,0.0,60.0
ssm,deadlift,00000,3,57.333333333333336,0.0,0.20772946859903382,45.0,112.0,25.0,0.8175182481751825,69.0,0.0,60.0
ssm,deadlift,00000,4,57.333333333333336,0.0,0.9806763285024154,0.0,9.0,128.0,0.06569343065693431,69.0,0.0,60.0
ssm,deadlift,00010,0,57.333333333333336,0.0,0.6464646464646465,2.0,22.0,120.0,0.15492957746478872,66.0,1.0,85.0
ssm,deadlift,00010,1,57.333333333333336,0.0,0.3282828282828283,6.0,23.0,119.0,0.1619718309859155,66.0,1.0,85.0
ssm,deadlift,00010,2,57.333333333333336,0.0,0.20707070707070707,30.0,76.0,66.0,0.5352112676056338,66.0,1.0,85.0
ssm,deadlift,00010,3,57.333333333333336,1.0,0.41919191919191917,47.0,79.0,63.0,0.5563380281690141,66.0,1.0,85.0
ssm,deadlift,00010,4,57.333333333333336,0.0,0.9848484848484849,0.0,9.0,133.0,0.06338028169014084,66.0,1.0,85.0
ssm,deadlift,00100,0,57.333333333333336,0.0,0.8636363636363636,0.0,15.0,172.0,0.08021390374331551,22.0,1.0,92.0
ssm,deadlift,00100,1,57.333333333333336,0.0,0.37878787878787873,0.0,21.0,166.0,0.11229946524064172,22.0,1.0,92.0
ssm,deadlift,00100,2,57.333333333333336,1.0,0.5,54.0,132.0,55.0,0.7058823529411765,22.0,1.0,92.0
ssm,deadlift,00100,3,57.333333333333336,0.0,0.2727272727272727,33.0,118.0,69.0,0.6310160427807486,22.0,1.0,92.0
ssm,deadlift,00100,4,57.333333333333336,0.0,0.8484848484848485,5.0,9.0,178.0,0.0481283422459893,22.0,1.0,92.0
ssm,deadlift,00110,0,57.333333333333336,0.0,0.7474747474747474,0.0,20.0,158.0,0.11235955056179775,33.0,2.0,91.0
ssm,deadlift,00110,1,57.333333333333336,0.0,0.9090909090909092,7.0,20.0,158.0,0.11235955056179775,33.0,2.0,91.0
ssm,deadlift,00110,2,57.333333333333336,1.0,0.40404040404040403,53.0,127.0,51.0,0.7134831460674157,33.0,2.0,91.0
ssm,deadlift,00110,3,57.333333333333336,1.0,0.6262626262626262,22.0,98.0,80.0,0.550561797752809,33.0,2.0,91.0
ssm,deadlift,00110,4,57.333333333333336,0.0,0.8383838383838383,9.0,9.0,169.0,0.05056179775280898,33.0,2.0,91.0
ssm,deadlift,11110,0,57.333333333333336,1.0,0.6,1.0,186.0,16.0,0.9207920792079208,10.0,4.0,2.0
ssm,deadlift,11110,1,57.333333333333336,1.0,0.03333333333333333,1.0,192.0,10.0,0.9504950495049505,10.0,4.0,2.0
ssm,deadlift,11110,2,57.333333333333336,1.0,0.26666666666666666,0.0,152.0,50.0,0.7524752475247526,10.0,4.0,2.0
ssm,deadlift,11110,3,57.333333333333336,1.0,0.03333333333333333,0.0,101.0,101.0,0.5,10.0,4.0,2.0
ssm,deadlift,11110,4,57.333333333333336,0.0,1.0,0.0,9.0,193.0,0.04455445544554456,10.0,4.0,2.0
ssm,squat,000000,0,57.333333333333336,0.0,0.6078431372549019,0.3333333333333333,116.66666666666667,93.33333333333333,0.5555555555555555,17.0,0.0,52.0
ssm,squat,000000,1,57.333333333333336,0.0,0.7058823529411765,0.0,36.333333333333336,173.66666666666666,0.17301587301587304,17.0,0.0,52.0
ssm,squat,000000,2,57.333333333333336,0.0,0.7254901960784315,3.0,40.0,170.0,0.19047619047619047,17.0,0.0,52.0
ssm,squat,000000,3,57.333333333333336,0.0,0.627450980392157,5.0,83.0,127.0,0.3952380952380952,17.0,0.0,52.0
ssm,squat,000000,4,57.333333333333336,0.0,1.0,5.0,10.0,200.0,0.047619047619047616,17.0,0.0,52.0
ssm,squat,000000,5,57.333333333333336,0.0,0.0,38.666666666666664,188.0,22.0,0.8952380952380952,17.0,0.0,52.0
