model,exercise,target,seed,condition,metric,value
ssm,deadlift,00110,123,seen,bit_accuracy,0.95
ssm,deadlift,00110,123,seen,exact_match,0.75
ssm,deadlift,00110,123,unseen,macro_f1,0.4
ssm,deadlift,00110,123,unseen,micro_f1,0.7272727272727273
ssm,deadlift,00110,123,unseen,bit_accuracy,0.7
ssm,deadlift,00110,123,unseen,exact_match,0.0
ssm,deadlift,00110,42,seen,macro_f1,0.4
ssm,deadlift,00110,42,seen,micro_f1,1.0
ssm,deadlift,00110,42,seen,bit_accuracy,1.0
ssm,deadlift,00110,42,seen,exact_match,1.0
ssm,deadlift,00110,42,unseen,macro_f1,0.3
ssm,deadlift,00110,42,unseen,micro_f1,0.6666666666666666
ssm,deadlift,00110,42,unseen,bit_accuracy,0.7333333333333333
ssm,deadlift,00110,42,unseen,exact_match,0.0
ssm,deadlift,00110,7,seen,macro_f1,0.26666666666666666
ssm,deadlift,00110,7,seen,micro_f1,0.75
ssm,deadlift,00110,7,seen,bit_accuracy,0.84
ssm,deadlift,00110,7,seen,exact_match,0.2
ssm,deadlift,00110,7,unseen,macro_f1,0.2
ssm,deadlift,00110,7,unseen,micro_f1,0.5555555555555556
ssm,deadlift,00110,7,unseen,bit_accuracy,0.68
ssm,deadlift,00110,7,unseen,exact_match,0.0
ssm,deadlift,11110,123,seen,macro_f1,0.2642857142857143
ssm,deadlift,11110,123,seen,micro_f1,0.4
ssm,deadlift,11110,123,seen,bit_accuracy,0.4
ssm,deadlift,11110,123,seen,exact_match,0.0
ssm,deadlift,11110,123,unseen,macro_f1,0.22857142857142856
ssm,deadlift,11110,123,unseen,micro_f1,0.3333333333333333
ssm,deadlift,11110,123,unseen,bit_accuracy,0.36
ssm,deadlift,11110,123,unseen,exact_match,0.0
ssm,deadlift,11110,42,seen,macro_f1,0.0
ssm,deadlift,11110,42,seen,micro_f1,0.0
ssm,deadlift,11110,42,seen,bit_accuracy,0.2
ssm,deadlift,11110,42,seen,exact_match,0.0
ssm,deadlift,11110,42,unseen,macro_f1,0.0
ssm,deadlift,11110,42,unseen,micro_f1,0.0
ssm,deadlift,11110,42,unseen,bit_accuracy,0.2
ssm,deadlift,11110,42,unseen,exact_match,0.0
ssm,deadlift,11110,7,seen,macro_f1,0.4
ssm,deadlift,11110,7,seen,micro_f1,0.6666666666666666
ssm,deadlift,11110,7,seen,bit_accuracy,0.6
ssm,deadlift,11110,7,seen,exact_match,0.0
ssm,deadlift,11110,7,unseen,macro_f1,0.0
ssm,deadlift,11110,7,unseen,micro_f1,0.0
ssm,deadlift,11110,7,unseen,bit_accuracy,0.2
ssm,deadlift,11110,7,unseen,exact_match,0.0
ssm,squat,000000,123,seen,macro_f1,0.0
ssm,squat,000000,123,seen,micro_f1,0.0
ssm,squat,000000,123,seen,bit_accuracy,0.6111111111111112
ssm,squat,000000,123,seen,exact_match,0.0
ssm,squat,000000,123,unseen,macro_f1,0.0
ssm,squat,000000,123,unseen,micro_f1,0.0
ssm,squat,000000,123,unseen,bit_accuracy,0.6111111111111112
ssm,squat,000000,123,unseen,exact_match,0.0
ssm,squat,000000,42,seen,macro_f1,0.0
ssm,squat,000000,42,seen,micro_f1,0.0
ssm,squat,000000,42,seen,bit_accuracy,0.6333333333333333
ssm,squat,000000,42,seen,exact_match,0.0
ssm,squat,000000,42,unseen,macro_f1,0.0
ssm,squat,000000,42,unseen,micro_f1,0.0
ssm,squat,000000,42,unseen,bit_accuracy,0.5
ssm,squat,000000,42,unseen,exact_match,0.0
ssm,squat,000000,7,seen,macro_f1,0.0
ssm,squat,000000,7,seen,micro_f1,0.0
ssm,squat,000000,7,seen,bit_accuracy,0.7333333333333333
ssm,squat,000000,7,seen,exact_match,0.0
ssm,squat,000000,7,unseen,macro_f1,0.0
