model,exercise,target,seed,risk,n,error_rate,error_auprc,error_auroc,aurc,accuracy_at_80,accuracy_at_60
gru,deadlift,00000,7,pressure,345,0.3826086956521739,0.7594606452358167,0.7049189073836961,0.3284501883270417,0.7427536231884058,0.78743961352657
gru,deadlift,00000,7,combined,345,0.3826086956521739,0.40368009499670576,0.5553421539337032,0.3060379549640543,0.6304347826086957,0.6231884057971014
gru,deadlift,00010,123,confidence,330,0.6545454545454545,0.7252222723135748,0.6858958739441195,0.4347929666453366,0.33333333333333337,0.3737373737373737
gru,deadlift,00010,123,pressure,330,0.6545454545454545,0.8980739744014251,0.8712231968810916,0.41859995361192426,0.4204545454545454,0.5606060606060606
gru,deadlift,00010,123,combined,330,0.6545454545454545,0.9132479577401963,0.8907569850552306,0.35349471807156563,0.4204545454545454,0.5505050505050505
gru,deadlift,00010,42,confidence,330,0.37272727272727274,0.4380226411048501,0.6015474647500099,0.2569259437300242,0.6363636363636364,0.6464646464646464
gru,deadlift,00010,42,pressure,330,0.37272727272727274,0.6186763309097528,0.6681395074820313,0.25769363390805644,0.696969696969697,0.6767676767676767
gru,deadlift,00010,42,combined,330,0.37272727272727274,0.5326642301861355,0.6889752955500569,0.214758091719122,0.678030303030303,0.6919191919191919
gru,deadlift,00010,7,confidence,330,0.5181818181818182,0.5419073382924171,0.5783588951414174,0.385999309364339,0.4545454545454546,0.4797979797979798
gru,deadlift,00010,7,pressure,330,0.5181818181818182,0.841194849790188,0.8592261576372798,0.24300219951947474,0.5454545454545454,0.6818181818181819
gru,deadlift,00010,7,combined,330,0.5181818181818182,0.8593508418961849,0.8819375482731988,0.22023796980423666,0.5568181818181819,0.6818181818181819
gru,deadlift,00100,123,confidence,110,0.6818181818181818,0.7742438865995859,0.6533333333333333,0.5766580198172475,0.3522727272727273,0.36363636363636365
gru,deadlift,00100,123,pressure,110,0.6818181818181818,0.7873905073905073,0.6860952380952381,0.5665722929914868,0.38636363636363635,0.48484848484848486
gru,deadlift,00100,123,combined,110,0.6818181818181818,0.9240876723652398,0.8514285714285714,0.43125624978690746,0.3977272727272727,0.4545454545454546
gru,deadlift,00100,42,confidence,110,0.5363636363636364,0.7728661789050932,0.8720505151213028,0.23137673933058978,0.5,0.6666666666666667
gru,deadlift,00100,42,pressure,110,0.5363636363636364,0.9148285497897678,0.889498172150216,0.2918588300576137,0.5795454545454546,0.6666666666666667
gru,deadlift,00100,42,combined,110,0.5363636363636364,0.7357206228145066,0.7680292455965436,0.2878636085785894,0.5,0.5606060606060606
gru,deadlift,00100,7,confidence,110,0.5545454545454546,0.7203904949362151,0.7269989963198394,0.3627233366727178,0.48863636363636365,0.6060606060606061
gru,deadlift,00100,7,pressure,110,0.5545454545454546,0.878472451965286,0.8842422214787554,0.24875889574371654,0.5454545454545454,0.6666666666666667
gru,deadlift,00100,7,combined,110,0.5545454545454546,0.9432836266442499,0.9227166276346604,0.276910789995854,0.5454545454545454,0.7272727272727273
gru,deadlift,00110,123,confidence,165,0.3151515151515151,0.43897756946135363,0.6322328114363512,0.21755974616351795,0.7348484848484849,0.7575757575757576
gru,deadlift,00110,123,pressure,165,0.3151515151515151,0.4940646835509124,0.6567392784206944,0.24006225828193384,0.7954545454545454,0.7777777777777778
gru,deadlift,00110,123,combined,165,0.3151515151515151,0.6036419974024505,0.6671204901293397,0.22140873000719005,0.7878787878787878,0.7575757575757576
gru,deadlift,00110,42,confidence,165,0.2,0.2738029783776722,0.634297520661157,0.1269801840552667,0.8333333333333334,0.8585858585858586
gru,deadlift,00110,42,pressure,165,0.2,0.206377781525494,0.4589072543617999,0.23488035018424347,0.8181818181818181,0.7878787878787878
gru,deadlift,00110,42,combined,165,0.2,0.17899689619545694,0.4529384756657484,0.19235702590245526,0.803030303030303,0.7878787878787878
gru,deadlift,00110,7,confidence,165,0.3939393939393939,0.5704908457038953,0.7040000000000001,0.2347219766622058,0.6515151515151515,0.7171717171717171
gru,deadlift,00110,7,pressure,165,0.3939393939393939,0.7740025901258281,0.748,0.280544872509762,0.7575757575757576,0.7575757575757576
gru,deadlift,00110,7,combined,165,0.3939393939393939,0.7939500819544041,0.7990769230769231,0.192532683250806,0.7272727272727273,0.7777777777777778
gru,deadlift,11110,123,confidence,50,0.66,0.7467365706410922,0.6648841354723708,0.4701442005201223,0.375,0.3666666666666667
gru,deadlift,11110,123,pressure,50,0.66,0.6602877702877703,0.5303030303030303,0.6451537888055769,0.30000000000000004,0.33333333333333337
gru,deadlift,11110,123,combined,50,0.66,0.6253483450327955,0.5436720142602496,0.5084440664448774,0.25,0.33333333333333337
gru,deadlift,11110,42,confidence,50,0.42,0.33672170924383893,0.3513957307060755,0.4154946060784048,0.525,0.3666666666666667
gru,deadlift,11110,42,pressure,50,0.42,0.38089253296626574,0.06403940886699502,0.6935447253192847,0.475,0.33333333333333337
gru,deadlift,11110,42,combined,50,0.42,0.35158731292931844,0.34975369458128075,0.41768757384085636,0.525,0.3666666666666667
gru,deadlift,11110,7,confidence,50,0.52,0.574758763587057,0.6025641025641025,0.3815130358904764,0.525,0.5333333333333333
gru,deadlift,11110,7,pressure,50,0.52,0.4619987365575601,0.37099358974358976,0.5282377438342358,0.375,0.3666666666666667
gru,deadlift,11110,7,combined,50,0.52,0.4346434241460867,0.3894230769230769,0.49494272069940287,0.375,0.33333333333333337
gru,squat,000000,123,confidence,102,0.3137254901960784,0.47756269872267426,0.715625,0.16043979687998716,0.7654320987654322,0.7540983606557377
gru,squat,000000,123,pressure,102,0.3137254901960784,0.6395992007739614,0.5955357142857143,0.2749506946517363,0.7901234567901234,0.7213114754098361
gru,squat,000000,123,combined,102,0.3137254901960784,0.36995292576754046,0.4553571428571429,0.4399751183486643,0.7283950617283951,0.6885245901639344
gru,squat,000000,42,confidence,102,0.39215686274509803,0.3849240177794813,0.5165322580645162,0.3066073499812588,0.5802469135802469,0.540983606557377
gru,squat,000000,42,pressure,102,0.39215686274509803,0.6016708947730035,0.6330645161290323,0.30912882672619457,0.6790123456790124,0.6721311475409837
gru,squat,000000,42,combined,102,0.39215686274509803,0.6289183142363327,0.6362903225806451,0.3165152677843085,0.7037037037037037,0.6721311475409837
gru,squat,000000,7,confidence,102,0.4117647058823529,0.5708996848184416,0.7,0.2279859650153572,0.6049382716049383,0.6721311475409837
gru,squat,000000,7,pressure,102,0.4117647058823529,0.6021584950015537,0.6609126984126984,0.2802817569980822,0.6666666666666667,0.6885245901639344
gru,squat,000000,7,combined,102,0.4117647058823529,0.6152114742728395,0.6813492063492063,0.2797923342031731,0.654320987654321,0.6885245901639344
gru,squat,000001,123,confidence,330,0.3303030303030303,0.4800775191362068,0.6776537008593133,0.20199086093958604,0.7159090909090908,0.7626262626262627
gru,squat,000001,123,pressure,330,0.3303030303030303,0.5628869861396413,0.6378845116028062,0.27140301200522565,0.7159090909090908,0.7525252525252525
gru,squat,000001,123,combined,330,0.3303030303030303,0.4754243075891992,0.6078708124040019,0.23060925591241851,0.7121212121212122,0.6818181818181819
gru,squat,000001,42,confidence,330,0.30606060606060603,0.3910326945262411,0.6189632063643045,0.21723046986239528,0.7234848484848485,0.7525252525252525
gru,squat,000001,42,pressure,330,0.30606060606060603,0.6574217717546884,0.7669808465562713,0.16942432740183982,0.7575757575757576,0.8585858585858586
