model,exercise,target,seed,criterion,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_cardinality,total_hamming1_support,is_hand_criterion
gru,cpr,0000000000100,7,6,0,1.0,12.0,138.0,909.0,0.1318051575931232,1.0,138.0,False
gru,cpr,0000000000100,7,7,0,1.0,7.0,165.0,882.0,0.15759312320916904,1.0,138.0,False
gru,cpr,0000000000100,7,8,0,1.0,5.0,176.0,871.0,0.16809933142311365,1.0,138.0,False
gru,cpr,0000000000100,7,9,0,0.05,7.0,203.0,844.0,0.1938872970391595,1.0,138.0,False
gru,cpr,0000000000100,7,10,1,0.15,42.0,951.0,96.0,0.9083094555873925,1.0,138.0,False
gru,cpr,0000000000100,7,11,0,0.25,0.0,88.0,959.0,0.08404966571155682,1.0,138.0,False
gru,cpr,0000000000100,7,12,0,1.0,0.0,95.0,952.0,0.09073543457497613,1.0,138.0,False
gru,cpr,0000000001000,123,0,0,0.9,12.0,214.0,875.0,0.19651056014692378,1.0,153.0,True
gru,cpr,0000000001000,123,1,0,1.0,7.0,87.0,1002.0,0.07988980716253444,1.0,153.0,True
gru,cpr,0000000001000,123,2,0,1.0,6.0,74.0,1015.0,0.06795224977043159,1.0,153.0,True
gru,cpr,0000000001000,123,3,0,1.0,9.0,169.0,920.0,0.155188246097337,1.0,153.0,False
gru,cpr,0000000001000,123,4,0,1.0,12.0,155.0,934.0,0.1423324150596878,1.0,153.0,False
gru,cpr,0000000001000,123,5,0,1.0,12.0,176.0,913.0,0.16161616161616163,1.0,153.0,False
gru,cpr,0000000001000,123,6,0,1.0,12.0,158.0,931.0,0.14508723599632692,1.0,153.0,False
gru,cpr,0000000001000,123,7,0,1.0,12.0,154.0,935.0,0.1414141414141414,1.0,153.0,False
gru,cpr,0000000001000,123,8,0,1.0,10.0,158.0,931.0,0.14508723599632692,1.0,153.0,False
gru,cpr,0000000001000,123,9,1,0.05,42.0,930.0,159.0,0.8539944903581267,1.0,153.0,False
gru,cpr,0000000001000,123,10,0,0.7,5.0,120.0,969.0,0.11019283746556474,1.0,153.0,False
gru,cpr,0000000001000,123,11,0,0.5,7.0,97.0,992.0,0.08907254361799816,1.0,153.0,False
gru,cpr,0000000001000,123,12,0,0.85,7.0,107.0,982.0,0.09825528007346189,1.0,153.0,False
gru,cpr,0000000001000,42,0,0,1.0,12.0,214.0,875.0,0.19651056014692378,1.0,153.0,True
gru,cpr,0000000001000,42,1,0,0.95,7.0,87.0,1002.0,0.07988980716253444,1.0,153.0,True
gru,cpr,0000000001000,42,2,0,1.0,6.0,74.0,1015.0,0.06795224977043159,1.0,153.0,True
gru,cpr,0000000001000,42,3,0,1.0,9.0,169.0,920.0,0.155188246097337,1.0,153.0,False
gru,cpr,0000000001000,42,4,0,1.0,12.0,155.0,934.0,0.1423324150596878,1.0,153.0,False
gru,cpr,0000000001000,42,5,0,1.0,12.0,176.0,913.0,0.16161616161616163,1.0,153.0,False
gru,cpr,0000000001000,42,6,0,1.0,12.0,158.0,931.0,0.14508723599632692,1.0,153.0,False
gru,cpr,0000000001000,42,7,0,1.0,12.0,154.0,935.0,0.1414141414141414,1.0,153.0,False
gru,cpr,0000000001000,42,8,0,1.0,10.0,158.0,931.0,0.14508723599632692,1.0,153.0,False
