model,exercise,target,criterion,seed,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_cardinality,total_hamming1_support,is_hand_criterion
gru,cpr,0000000100000,8,57.333333333333336,0.0,1.0,12.0,158.0,931.0,0.14508723599632692,1.0,150.0,0.0
gru,cpr,0000000100000,9,57.333333333333336,0.0,0.3666666666666667,12.0,181.0,908.0,0.16620752984389348,1.0,150.0,0.0
gru,cpr,0000000100000,10,57.333333333333336,0.0,0.9833333333333334,12.0,120.0,969.0,0.11019283746556474,1.0,150.0,0.0
gru,cpr,0000000100000,11,57.333333333333336,0.0,0.6,7.0,97.0,992.0,0.08907254361799816,1.0,150.0,0.0
gru,cpr,0000000100000,12,57.333333333333336,0.0,1.0,2.0,107.0,982.0,0.09825528007346189,1.0,150.0,0.0
gru,cpr,0000000100001,0,57.333333333333336,0.0,1.0,0.0,185.0,902.0,0.1701931922723091,2.0,62.0,1.0
gru,cpr,0000000100001,1,57.333333333333336,0.0,0.6666666666666666,0.0,90.0,997.0,0.0827966881324747,2.0,62.0,1.0
gru,cpr,0000000100001,2,57.333333333333336,0.0,1.0,0.0,98.0,989.0,0.09015639374425023,2.0,62.0,1.0
gru,cpr,0000000100001,3,57.333333333333336,0.0,1.0,0.0,171.0,916.0,0.15731370745170192,2.0,62.0,0.0
gru,cpr,0000000100001,4,57.333333333333336,0.0,1.0,0.0,146.0,941.0,0.1343146274149034,2.0,62.0,0.0
gru,cpr,0000000100001,5,57.333333333333336,0.0,0.4666666666666666,0.0,128.0,959.0,0.11775528978840848,2.0,62.0,0.0
gru,cpr,0000000100001,6,57.333333333333336,0.0,1.0,0.0,143.0,944.0,0.13155473781048757,2.0,62.0,0.0
gru,cpr,0000000100001,7,57.333333333333336,1.0,1.0,22.0,930.0,157.0,0.8555657773689053,2.0,62.0,0.0
gru,cpr,0000000100001,8,57.333333333333336,0.0,1.0,0.0,165.0,922.0,0.15179392824287027,2.0,62.0,0.0
gru,cpr,0000000100001,9,57.333333333333336,0.0,0.5333333333333333,0.0,183.0,904.0,0.16835326586936525,2.0,62.0,0.0
gru,cpr,0000000100001,10,57.333333333333336,0.0,0.8333333333333334,0.0,122.0,965.0,0.11223551057957681,2.0,62.0,0.0
gru,cpr,0000000100001,11,57.333333333333336,0.0,0.5,0.0,91.0,996.0,0.08371665133394664,2.0,62.0,0.0
gru,cpr,0000000100001,12,57.333333333333336,1.0,0.0,40.0,998.0,89.0,0.9181232750689973,2.0,62.0,0.0
gru,cpr,0000000100010,0,57.333333333333336,0.0,0.6,8.0,185.0,902.0,0.1701931922723091,2.0,68.0,1.0
gru,cpr,0000000100010,1,57.333333333333336,0.0,0.9333333333333332,0.0,90.0,997.0,0.0827966881324747,2.0,68.0,1.0
gru,cpr,0000000100010,2,57.333333333333336,0.0,1.0,0.0,98.0,989.0,0.09015639374425023,2.0,68.0,1.0
gru,cpr,0000000100010,3,57.333333333333336,0.0,1.0,0.0,171.0,916.0,0.15731370745170192,2.0,68.0,0.0
gru,cpr,0000000100010,4,57.333333333333336,0.0,1.0,0.0,146.0,941.0,0.1343146274149034,2.0,68.0,0.0
gru,cpr,0000000100010,5,57.333333333333336,0.0,0.8666666666666667,0.0,128.0,959.0,0.11775528978840848,2.0,68.0,0.0
gru,cpr,0000000100010,6,57.333333333333336,0.0,1.0,0.0,143.0,944.0,0.13155473781048757,2.0,68.0,0.0
gru,cpr,0000000100010,7,57.333333333333336,1.0,1.0,20.0,930.0,157.0,0.8555657773689053,2.0,68.0,0.0
gru,cpr,0000000100010,8,57.333333333333336,0.0,1.0,0.0,165.0,922.0,0.15179392824287027,2.0,68.0,0.0
gru,cpr,0000000100010,9,57.333333333333336,0.0,0.6,0.0,183.0,904.0,0.16835326586936525,2.0,68.0,0.0
gru,cpr,0000000100010,10,57.333333333333336,0.0,0.8666666666666667,0.0,122.0,965.0,0.11223551057957681,2.0,68.0,0.0
gru,cpr,0000000100010,11,57.333333333333336,1.0,0.0,40.0,1008.0,79.0,0.9273229070837167,2.0,68.0,0.0
gru,cpr,0000000100010,12,57.333333333333336,0.0,0.6,0.0,101.0,986.0,0.09291628334866604,2.0,68.0,0.0
gru,cpr,0000000100100,0,57.333333333333336,0.0,1.0,0.0,185.0,902.0,0.1701931922723091,2.0,62.0,1.0
gru,cpr,0000000100100,1,57.333333333333336,0.0,1.0,0.0,90.0,997.0,0.0827966881324747,2.0,62.0,1.0
gru,cpr,0000000100100,2,57.333333333333336,0.0,1.0,0.0,98.0,989.0,0.09015639374425023,2.0,62.0,1.0
gru,cpr,0000000100100,3,57.333333333333336,0.0,1.0,0.0,171.0,916.0,0.15731370745170192,2.0,62.0,0.0
gru,cpr,0000000100100,4,57.333333333333336,0.0,1.0,0.0,146.0,941.0,0.1343146274149034,2.0,62.0,0.0
gru,cpr,0000000100100,5,57.333333333333336,0.0,1.0,0.0,128.0,959.0,0.11775528978840848,2.0,62.0,0.0
gru,cpr,0000000100100,6,57.333333333333336,0.0,1.0,0.0,143.0,944.0,0.13155473781048757,2.0,62.0,0.0
gru,cpr,0000000100100,7,57.333333333333336,1.0,1.0,22.0,930.0,157.0,0.8555657773689053,2.0,62.0,0.0
gru,cpr,0000000100100,8,57.333333333333336,0.0,0.9333333333333332,0.0,165.0,922.0,0.15179392824287027,2.0,62.0,0.0
gru,cpr,0000000100100,9,57.333333333333336,0.0,0.06666666666666667,0.0,183.0,904.0,0.16835326586936525,2.0,62.0,0.0
gru,cpr,0000000100100,10,57.333333333333336,1.0,0.0,40.0,977.0,110.0,0.8988040478380864,2.0,62.0,0.0
gru,cpr,0000000100100,11,57.333333333333336,0.0,0.3666666666666667,0.0,91.0,996.0,0.08371665133394664,2.0,62.0,0.0
gru,cpr,0000000100100,12,57.333333333333336,0.0,0.8333333333333334,0.0,101.0,986.0,0.09291628334866604,2.0,62.0,0.0
gru,cpr,0000000101000,0,57.333333333333336,0.0,1.0,0.0,185.0,902.0,0.1701931922723091,2.0,82.0,1.0
gru,cpr,0000000101000,1,57.333333333333336,0.0,1.0,0.0,90.0,997.0,0.0827966881324747,2.0,82.0,1.0
gru,cpr,0000000101000,2,57.333333333333336,0.0,1.0,0.0,98.0,989.0,0.09015639374425023,2.0,82.0,1.0
gru,cpr,0000000101000,3,57.333333333333336,0.0,1.0,0.0,171.0,916.0,0.15731370745170192,2.0,82.0,0.0
gru,cpr,0000000101000,4,57.333333333333336,0.0,1.0,0.0,146.0,941.0,0.1343146274149034,2.0,82.0,0.0
gru,cpr,0000000101000,5,57.333333333333336,0.0,0.9333333333333332,0.0,128.0,959.0,0.11775528978840848,2.0,82.0,0.0
gru,cpr,0000000101000,6,57.333333333333336,0.0,1.0,0.0,143.0,944.0,0.13155473781048757,2.0,82.0,0.0
