checkpoint,model,exercise,target,seed,criterion,criterion_name,target_bit,perturbation,n_test,n_mapped_joints,context_pressure,baseline_accuracy,baseline_correct_confidence,mapped_confidence_drop,random_confidence_drop,relative_evidence_sensitivity,random_drop_sd,mapped_spillover,split_offset
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s123.pt,fact,deadlift,00100,123,1,Straight back (0.5) L,0,zero,22,6,0,0.6363636363636364,0.5766077637672424,-0.07058645039796829,0.004293542355298996,-0.07487998902797699,0.10847187042236328,0.015559992752969265,227
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s123.pt,fact,deadlift,00100,123,1,Straight back (0.5) L,0,temporal_mean,22,6,0,0.6363636363636364,0.5766077637672424,0.0065686702728271484,-0.0008880778914317489,0.007456748280674219,0.005756998434662819,0.02847907692193985,227
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s123.pt,fact,deadlift,00100,123,2,Full back leg extended (0.5 point) L,1,zero,22,6,54,0.5,0.490873247385025,0.14480967819690704,0.0157687459141016,0.12904092669487,0.02964676357805729,0.08298194408416748,227
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s123.pt,fact,deadlift,00100,123,2,Full back leg extended (0.5 point) L,1,temporal_mean,22,6,54,0.5,0.490873247385025,-0.09723637253046036,-0.015383613295853138,-0.0818527564406395,0.021290212869644165,0.04328271374106407,227
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s123.pt,fact,deadlift,00100,123,3,Slow reverse movement (0.5 point) L,0,zero,22,8,33,0.2727272727272727,0.4845665991306305,-0.17495273053646088,-0.01795855164527893,-0.15699417889118195,0.02726731263101101,0.11953947693109512,227
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s123.pt,fact,deadlift,00100,123,3,Slow reverse movement (0.5 point) L,0,temporal_mean,22,8,33,0.2727272727272727,0.4845665991306305,0.08034214377403259,0.021471424028277397,0.058870717883110046,0.01750417798757553,0.05196744203567505,227
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s123.pt,fact,deadlift,00100,123,4,Support knee bend 15-20° (0.5 point) L,0,zero,22,6,5,0.9545454545454546,0.666754961013794,-0.10896846652030945,-0.017271023243665695,-0.09169743955135345,0.03258125111460686,0.09522540867328644,227
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s123.pt,fact,deadlift,00100,123,4,Support knee bend 15-20° (0.5 point) L,0,temporal_mean,22,6,5,0.9545454545454546,0.666754961013794,0.08081186562776566,0.00979563221335411,0.07101623713970184,0.011543503031134605,0.046104464679956436,227
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s42.pt,fact,deadlift,00100,42,0,Balance (0.5 point) F,0,zero,22,12,0,0.9090909090909091,0.7456392645835876,-0.034482598304748535,-0.0030911851208657026,-0.031391412019729614,0.021134670823812485,0.0,308
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s42.pt,fact,deadlift,00100,42,0,Balance (0.5 point) F,0,temporal_mean,22,12,0,0.9090909090909091,0.7456392645835876,0.16384939849376678,0.024750910699367523,0.13909849524497986,0.01373300887644291,0.0,308
results/context_evidence/v2/checkpoints\fact_deadlift_00100_s42.pt,fact,deadlift,00100,42,1,Straight back (0.5) L,0,zero,22,6,0,0.6818181818181818,0.6384690403938293,-0.22080999612808228,-0.006796923466026783,-0.21401306986808777,0.19498901069164276,0.24667587876319885,308
