model,perturbation,exercise,target,criterion,seed,target_bit,n_test,n_mapped_joints,context_pressure,baseline_accuracy,baseline_correct_confidence,mapped_confidence_drop,random_confidence_drop,relative_evidence_sensitivity,random_drop_sd,mapped_spillover,split_offset
fact,zero,deadlift,11110,4,57.333333333333336,0.0,10.0,6.0,0.0,1.0,0.8322728077570597,0.20609972501794493,0.0396896284073591,0.16641009847323093,0.08383406636615591,0.2701251208782196,226.66666666666666
fact,zero,squat,0,0,57.333333333333336,0.0,17.0,10.0,0.3333333333333333,0.5294117647058824,0.49309878547986347,0.4459148148695628,0.0756874276945988,0.3702273865540822,0.2783072541157405,0.0,121.66666666666667
fact,zero,squat,0,1,57.333333333333336,0.0,17.0,8.0,0.0,0.9019607843137254,0.8201431035995483,0.32264366435507935,0.045943742617964696,0.2766999180118243,0.20591320097446442,0.20610030492146805,121.66666666666667
fact,zero,squat,0,2,57.333333333333336,0.0,17.0,8.0,3.0,0.8039215686274509,0.7913245558738708,-0.14018976191679633,0.0622109298904736,-0.2024006893237432,0.2258635014295578,0.22327472269535065,121.66666666666667
fact,zero,squat,0,3,57.333333333333336,0.0,17.0,8.0,5.0,0.2549019607843137,0.3104478319485982,-0.5831840733687083,-0.08159791802366574,-0.5015861491362253,0.3228530287742614,0.14326699823141095,121.66666666666667
fact,zero,squat,0,4,57.333333333333336,0.0,17.0,6.0,5.0,1.0,0.9080772399902344,0.23032283115511146,0.11699314912160234,0.11332967877388002,0.19295809107522163,0.2994431753953297,121.66666666666667
fact,zero,squat,0,5,57.333333333333336,0.0,17.0,6.0,38.666666666666664,0.1176470588235294,0.25648118058840425,0.004104485114415496,-0.06105437874794,0.06515886137882869,0.1887549012899398,0.21854591866334275,121.66666666666667
fact,zero,squat,1,0,57.333333333333336,0.0,55.0,10.0,43.333333333333336,0.27272727272727265,0.2819260607163111,0.22080771128336585,-0.031723636512955004,0.2525313446919123,0.1698480794827143,0.0,125.33333333333333
fact,zero,squat,1,1,57.333333333333336,0.0,55.0,8.0,0.0,0.8787878787878788,0.8226976990699768,0.007830139249563233,0.06798105042738213,-0.06015091389417653,0.20700045923391974,0.27180197338263196,125.33333333333333
fact,zero,squat,1,2,57.333333333333336,0.0,55.0,8.0,7.0,0.9212121212121213,0.8801278074582418,0.3599738876024882,0.09952401618162789,0.2604498863220215,0.18576210240523017,0.2047316382328669,125.33333333333333
fact,zero,squat,1,3,57.333333333333336,0.0,55.0,8.0,21.0,0.5333333333333333,0.5591442485650381,-0.3695134023825328,0.05430840204159413,-0.4238217969735463,0.2928137381871541,0.2157636334498723,125.33333333333333
fact,zero,squat,1,4,57.333333333333336,0.0,55.0,6.0,0.0,0.8727272727272727,0.8276794950167338,0.1071934923529625,0.012799255549907664,0.09439423431952794,0.1365254496534665,0.278245061635971,125.33333333333333
fact,zero,squat,1,5,57.333333333333336,1.0,55.0,6.0,6.666666666666667,0.6424242424242425,0.6236759225527445,-0.16943439841270447,0.0144265138854583,-0.18386091788609824,0.1609552254279454,0.2429300248622894,125.33333333333333
fact,zero,squat,101,0,57.333333333333336,0.0,22.0,10.0,28.666666666666668,0.8787878787878789,0.7951965729395548,0.6741509834925333,0.11943581327795981,0.5547151565551758,0.1911860605080922,0.0,140.0
fact,zero,squat,101,1,57.333333333333336,0.0,22.0,8.0,10.0,0.787878787878788,0.6957714259624481,-0.20580923929810516,0.0631386910875638,-0.2689479291439056,0.28536185622215265,0.17702324191729224,140.0
fact,zero,squat,101,2,57.333333333333336,0.0,22.0,8.0,0.0,0.9848484848484849,0.9149413506189982,0.5249887108802795,0.1437042454878489,0.3812844604253769,0.19950922330220536,0.17734582225481668,140.0
fact,zero,squat,101,3,57.333333333333336,1.0,22.0,8.0,40.0,0.3636363636363636,0.40641096234321594,0.27750581130385393,-0.09811914401749762,0.37562494973341626,0.2853775471448898,0.2215940753618876,140.0
fact,zero,squat,101,4,57.333333333333336,0.0,22.0,6.0,0.0,1.0,0.837080717086792,0.12012044402460255,0.0500911070654789,0.07002934068441392,0.09943663825591403,0.2984256446361542,140.0
fact,zero,squat,101,5,57.333333333333336,1.0,22.0,6.0,5.0,0.6363636363636364,0.6039007902145386,-0.15883732214570043,0.0014953271796306021,-0.16033264746268586,0.14789161582787827,0.19107674434781066,140.0
fact,zero,squat,10101,0,57.333333333333336,0.0,15.0,10.0,1.6666666666666667,0.4222222222222222,0.44250976542631787,0.3780125826597214,0.0424235640093684,0.3355890115102132,0.2436743130286534,0.0,31.0
fact,zero,squat,10101,1,57.333333333333336,1.0,15.0,8.0,15.333333333333334,0.15555555555555553,0.23691862076520917,-0.0717626418918371,-0.0296716207327942,-0.04209101634720963,0.16196845223506287,0.20893831551074973,31.0
fact,zero,squat,10101,2,57.333333333333336,0.0,15.0,8.0,5.333333333333333,0.8888888888888888,0.8401004672050476,0.1360029261559248,0.16754308094580964,-0.031540160377820294,0.2254079928000768,0.2362431536118189,31.0
fact,zero,squat,10101,3,57.333333333333336,1.0,15.0,8.0,0.0,0.2888888888888889,0.38339152932167053,-0.3748023013273875,-0.12433656305074686,-0.25046573579311365,0.3094205955664317,0.20284849405288694,31.0
fact,zero,squat,10101,4,57.333333333333336,0.0,15.0,6.0,0.0,0.9111111111111111,0.8309759497642517,0.12256648174176611,-0.003286789869889633,0.12585327727720141,0.06974438826243078,0.26156545182069135,31.0
fact,zero,squat,10101,5,57.333333333333336,1.0,15.0,6.0,5.0,0.8888888888888888,0.81907852490743,0.2500824512292941,0.0409911815077066,0.20909126847982407,0.1298643847306569,0.1396807009975115,31.0
fact,zero,squat,100001,0,57.333333333333336,1.0,52.0,10.0,42.333333333333336,0.6474358974358975,0.6189071238040924,-0.2710378021001815,-0.030202990397810936,-0.24083480735619858,0.150927980740865,0.0,26.333333333333332
fact,zero,squat,100001,1,57.333333333333336,0.0,52.0,8.0,0.0,0.8205128205128206,0.8187543352444967,-0.1414274374643961,0.07295473044117286,-0.2143821666638056,0.19037418067455292,0.21333865324656168,26.333333333333332
fact,zero,squat,100001,2,57.333333333333336,0.0,52.0,8.0,18.333333333333332,0.6858974358974358,0.689988931020101,0.34419987350702286,0.052465652736524704,0.2917342235644658,0.2124413301547368,0.17977794011433912,26.333333333333332
fact,zero,squat,100001,3,57.333333333333336,0.0,52.0,8.0,29.666666666666668,0.5705128205128205,0.5753835042317709,-0.31992865105470014,0.07451782181548576,-0.3944464723269145,0.31617580850919086,0.20984664559364316,26.333333333333332
fact,zero,squat,100001,4,57.333333333333336,0.0,52.0,6.0,1.6666666666666667,0.8653846153846154,0.8024078210194906,-0.09261635628839333,0.020783738776420566,-0.11340009421110149,0.12836744387944535,0.24089796841144562,26.333333333333332
fact,zero,squat,100001,5,57.333333333333336,1.0,52.0,6.0,1.0,0.8205128205128206,0.7063271601994833,-0.023194468929432322,0.0324113263438145,-0.05560579275091485,0.1023638099431991,0.23664421339829758,26.333333333333332
fact,zero,squat,100101,0,57.333333333333336,1.0,36.0,10.0,17.0,0.8148148148148149,0.7636582851409912,-0.12018850197394687,0.017543681897222933,-0.1377321804563204,0.1245176295439402,0.0,29.0
fact,zero,squat,100101,1,57.333333333333336,0.0,36.0,8.0,0.3333333333333333,0.6481481481481481,0.6110072533289591,-0.15653053808879722,0.030258124073346427,-0.18678866575161615,0.24413658678531638,0.20637843509515122,29.0
fact,zero,squat,100101,2,57.333333333333336,0.0,36.0,8.0,0.0,0.6018518518518519,0.6210442781448364,-0.25573361416657764,0.019862921598056932,-0.27559652924537653,0.17290454109509787,0.2231287360191345,29.0
