model,exercise,target,seed,split,metric,value
gru,deadlift,00010,7,val,macro_f1,0.42682275027400135
gru,deadlift,00010,7,val,micro_f1,0.5154639175257731
gru,deadlift,00010,7,val,bit_accuracy,0.517948717948718
gru,deadlift,00010,7,val,exact_match,0.1794871794871795
gru,deadlift,00010,7,test,macro_f1,0.17043478260869566
gru,deadlift,00010,7,test,micro_f1,0.3643122676579926
gru,deadlift,00010,7,test,bit_accuracy,0.4818181818181818
gru,deadlift,00010,7,test,exact_match,0.0
gru,deadlift,00100,123,val,macro_f1,0.3719230769230769
gru,deadlift,00100,123,val,micro_f1,0.41830065359477125
gru,deadlift,00100,123,val,bit_accuracy,0.6212765957446809
gru,deadlift,00100,123,val,exact_match,0.0425531914893617
gru,deadlift,00100,123,test,macro_f1,0.048
gru,deadlift,00100,123,test,micro_f1,0.07407407407407407
gru,deadlift,00100,123,test,bit_accuracy,0.3181818181818182
gru,deadlift,00100,123,test,exact_match,0.0
gru,deadlift,00100,42,val,macro_f1,0.33810149369921666
gru,deadlift,00100,42,val,micro_f1,0.5408163265306123
gru,deadlift,00100,42,val,bit_accuracy,0.6170212765957447
gru,deadlift,00100,42,val,exact_match,0.0425531914893617
gru,deadlift,00100,42,test,macro_f1,0.09655172413793103
gru,deadlift,00100,42,test,micro_f1,0.1917808219178082
gru,deadlift,00100,42,test,bit_accuracy,0.4636363636363636
gru,deadlift,00100,42,test,exact_match,0.0
gru,deadlift,00100,7,val,macro_f1,0.33104664153051255
gru,deadlift,00100,7,val,micro_f1,0.47297297297297297
gru,deadlift,00100,7,val,bit_accuracy,0.6680851063829787
gru,deadlift,00100,7,val,exact_match,0.10638297872340426
gru,deadlift,00100,7,test,macro_f1,0.08571428571428572
gru,deadlift,00100,7,test,micro_f1,0.1643835616438356
gru,deadlift,00100,7,test,bit_accuracy,0.44545454545454544
gru,deadlift,00100,7,test,exact_match,0.0
gru,deadlift,00110,123,val,macro_f1,0.3462209302325582
gru,deadlift,00110,123,val,micro_f1,0.37333333333333335
gru,deadlift,00110,123,val,bit_accuracy,0.6083333333333333
gru,deadlift,00110,123,val,exact_match,0.041666666666666664
gru,deadlift,00110,123,test,macro_f1,0.3017094017094017
gru,deadlift,00110,123,test,micro_f1,0.6060606060606061
gru,deadlift,00110,123,test,bit_accuracy,0.6848484848484848
gru,deadlift,00110,123,test,exact_match,0.0
gru,deadlift,00110,42,val,macro_f1,0.33965601965601966
gru,deadlift,00110,42,val,micro_f1,0.4880952380952381
gru,deadlift,00110,42,val,bit_accuracy,0.6416666666666667
gru,deadlift,00110,42,val,exact_match,0.08333333333333333
gru,deadlift,00110,42,test,macro_f1,0.33916211293260473
gru,deadlift,00110,42,test,micro_f1,0.7480916030534351
gru,deadlift,00110,42,test,bit_accuracy,0.8
gru,deadlift,00110,42,test,exact_match,0.36363636363636365
gru,deadlift,00110,7,val,macro_f1,0.4010778224333212
gru,deadlift,00110,7,val,micro_f1,0.5196078431372549
gru,deadlift,00110,7,val,bit_accuracy,0.5916666666666667
gru,deadlift,00110,7,val,exact_match,0.10416666666666667
gru,deadlift,00110,7,test,macro_f1,0.2217142857142857
gru,deadlift,00110,7,test,micro_f1,0.4444444444444444
gru,deadlift,00110,7,test,bit_accuracy,0.6060606060606061
gru,deadlift,00110,7,test,exact_match,0.0
gru,deadlift,11110,123,val,macro_f1,0.4099591836734694
gru,deadlift,11110,123,val,micro_f1,0.4772727272727273
gru,deadlift,11110,123,val,bit_accuracy,0.6461538461538462
gru,deadlift,11110,123,val,exact_match,0.1346153846153846
gru,deadlift,11110,123,test,macro_f1,0.18636363636363637
