model,exercise,target,condition,metric,value
gru,cpr,0000010000000,unseen,bit_accuracy,0.7833333333333333
gru,cpr,0000010000000,unseen,exact_match,0.0
gru,cpr,0000010000000,unseen,macro_f1,0.028928336620644313
gru,cpr,0000010000000,unseen,micro_f1,0.1659056316590563
gru,cpr,0000010000010,seen,bit_accuracy,0.8512820512820513
gru,cpr,0000010000010,seen,exact_match,0.06666666666666667
gru,cpr,0000010000010,seen,macro_f1,0.09401709401709402
gru,cpr,0000010000010,seen,micro_f1,0.538961038961039
gru,cpr,0000010000010,unseen,bit_accuracy,0.8615384615384616
gru,cpr,0000010000010,unseen,exact_match,0.0
gru,cpr,0000010000010,unseen,macro_f1,0.07692307692307693
gru,cpr,0000010000010,unseen,micro_f1,0.5294117647058824
gru,cpr,0000010000100,seen,bit_accuracy,0.9333333333333332
gru,cpr,0000010000100,seen,exact_match,0.3666666666666667
gru,cpr,0000010000100,seen,macro_f1,0.12179487179487179
gru,cpr,0000010000100,seen,micro_f1,0.7666666666666666
gru,cpr,0000010000100,unseen,bit_accuracy,0.9025641025641026
gru,cpr,0000010000100,unseen,exact_match,0.16666666666666666
gru,cpr,0000010000100,unseen,macro_f1,0.09401709401709402
gru,cpr,0000010000100,unseen,micro_f1,0.6435185185185185
gru,cpr,0000010001000,seen,bit_accuracy,0.8230769230769232
gru,cpr,0000010001000,seen,exact_match,0.0
gru,cpr,0000010001000,seen,macro_f1,0.07692307692307693
gru,cpr,0000010001000,seen,micro_f1,0.45126705653021437
gru,cpr,0000010001000,unseen,bit_accuracy,0.8589743589743589
gru,cpr,0000010001000,unseen,exact_match,0.0
gru,cpr,0000010001000,unseen,macro_f1,0.07692307692307693
gru,cpr,0000010001000,unseen,micro_f1,0.5238095238095238
gru,cpr,0000010010000,seen,bit_accuracy,0.8846153846153846
gru,cpr,0000010010000,seen,exact_match,0.06666666666666667
gru,cpr,0000010010000,seen,macro_f1,0.1274928774928775
gru,cpr,0000010010000,seen,micro_f1,0.6594934855804421
gru,cpr,0000010010000,unseen,bit_accuracy,0.8333333333333334
gru,cpr,0000010010000,unseen,exact_match,0.0
gru,cpr,0000010010000,unseen,macro_f1,0.07621082621082621
gru,cpr,0000010010000,unseen,micro_f1,0.4444444444444444
gru,cpr,0000010100000,seen,bit_accuracy,0.8538461538461538
gru,cpr,0000010100000,seen,exact_match,0.0
gru,cpr,0000010100000,seen,macro_f1,0.07692307692307693
gru,cpr,0000010100000,seen,micro_f1,0.51742993848257
gru,cpr,0000010100000,unseen,bit_accuracy,0.7999999999999999
gru,cpr,0000010100000,unseen,exact_match,0.0
gru,cpr,0000010100000,unseen,macro_f1,0.07692307692307693
gru,cpr,0000010100000,unseen,micro_f1,0.43888888888888894
gru,cpr,0000011000000,seen,bit_accuracy,0.8717948717948718
gru,cpr,0000011000000,seen,exact_match,0.16666666666666666
gru,cpr,0000011000000,seen,macro_f1,0.09401709401709402
gru,cpr,0000011000000,seen,micro_f1,0.5841687552213868
gru,cpr,0000011000000,unseen,bit_accuracy,0.8717948717948718
gru,cpr,0000011000000,unseen,exact_match,0.0
gru,cpr,0000011000000,unseen,macro_f1,0.07692307692307693
gru,cpr,0000011000000,unseen,micro_f1,0.5589225589225589
gru,cpr,0000100000000,seen,bit_accuracy,0.9269230769230768
gru,cpr,0000100000000,seen,exact_match,0.26666666666666666
gru,cpr,0000100000000,seen,macro_f1,0.06837606837606837
gru,cpr,0000100000000,seen,micro_f1,0.6321678321678322
gru,cpr,0000100000000,unseen,bit_accuracy,0.8833333333333333
gru,cpr,0000100000000,unseen,exact_match,0.03333333333333333
gru,cpr,0000100000000,unseen,macro_f1,0.0762656147271532
gru,cpr,0000100000000,unseen,micro_f1,0.5728508984944147
gru,cpr,0000100000001,seen,bit_accuracy,0.9435897435897437
gru,cpr,0000100000001,seen,exact_match,0.3333333333333333
gru,cpr,0000100000001,seen,macro_f1,0.12250712250712249
gru,cpr,0000100000001,seen,micro_f1,0.7936507936507936
gru,cpr,0000100000001,unseen,bit_accuracy,0.8923076923076924
gru,cpr,0000100000001,unseen,exact_match,0.16666666666666666
gru,cpr,0000100000001,unseen,macro_f1,0.09401709401709402
gru,cpr,0000100000001,unseen,micro_f1,0.625
gru,cpr,0000100000100,seen,bit_accuracy,0.9256410256410256
gru,cpr,0000100000100,seen,exact_match,0.26666666666666666
gru,cpr,0000100000100,seen,macro_f1,0.12535612535612536
gru,cpr,0000100000100,seen,micro_f1,0.7579365079365079
gru,cpr,0000100000100,unseen,bit_accuracy,0.8384615384615385
gru,cpr,0000100000100,unseen,exact_match,0.0
gru,cpr,0000100000100,unseen,macro_f1,0.07692307692307693
gru,cpr,0000100000100,unseen,micro_f1,0.4902534113060429
